0 1 32 31
0 1 32 31
0 1 32 31
0 1 32 31
31 32 63 62
31 32 63 62
31 32 63 62
31 32 63 62
62 63 94 93
62 63 94 93
62 63 94 93
62 63 94 93
93 94 125 124
93 94 125 124
93 94 125 124
93 94 125 124
124 125 156 155
124 125 156 155
124 125 156 155
124 125 156 155
155 156 187 186
155 156 187 186
155 156 187 186
155 156 187 186
186 187 218 217
186 187 218 217
186 187 218 217
186 187 218 217
217 218 249 248
217 218 249 248
217 218 249 248
217 218 249 248
248 249 280 279
248 249 280 279
248 249 280 279
248 249 280 279
279 280 311 310
279 280 311 310
279 280 311 310
279 280 311 310
310 311 342 341
310 311 342 341
310 311 342 341
310 311 342 341
341 342 373 372
341 342 373 372
341 342 373 372
341 342 373 372
372 373 404 403
372 373 404 403
372 373 404 403
372 373 404 403
403 404 435 434
403 404 435 434
403 404 435 434
403 404 435 434
434 435 466 465
434 435 466 465
434 435 466 465
434 435 466 465
465 466 497 496
465 466 497 496
465 466 497 496
465 466 497 496
496 497 528 527
496 497 528 527
496 497 528 527
496 497 528 527
527 528 559 558
527 528 559 558
527 528 559 558
527 528 559 558
558 559 590 589
558 559 590 589
558 559 590 589
558 559 590 589
589 590 621 620
589 590 621 620
589 590 621 620
589 590 621 620
1 2 33 32
1 2 33 32
1 2 33 32
1 2 33 32
32 33 64 63
32 33 64 63
32 33 64 63
32 33 64 63
63 64 95 94
63 64 95 94
63 64 95 94
63 64 95 94
94 95 126 125
94 95 126 125
94 95 126 125
94 95 126 125
125 126 157 156
125 126 157 156
125 126 157 156
125 126 157 156
156 157 188 187
156 157 188 187
156 157 188 187
156 157 188 187
187 188 219 218
187 188 219 218
187 188 219 218
187 188 219 218
218 219 250 249
218 219 250 249
218 219 250 249
218 219 250 249
249 250 281 280
249 250 281 280
249 250 281 280
249 250 281 280
280 281 312 311
280 281 312 311
280 281 312 311
280 281 312 311
311 312 343 342
311 312 343 342
311 312 343 342
311 312 343 342
342 343 374 373
342 343 374 373
342 343 374 373
342 343 374 373
373 374 405 404
373 374 405 404
373 374 405 404
373 374 405 404
404 405 436 435
404 405 436 435
404 405 436 435
404 405 436 435
435 436 467 466
435 436 467 466
435 436 467 466
435 436 467 466
466 467 498 497
466 467 498 497
466 467 498 497
466 467 498 497
497 498 529 528
497 498 529 528
497 498 529 528
497 498 529 528
528 529 560 559
528 529 560 559
528 529 560 559
528 529 560 559
559 560 591 590
559 560 591 590
559 560 591 590
559 560 591 590
590 591 622 621
590 591 622 621
590 591 622 621
590 591 622 621
2 3 34 33
2 3 34 33
2 3 34 33
2 3 34 33
33 34 65 64
33 34 65 64
33 34 65 64
33 34 65 64
64 65 96 95
64 65 96 95
64 65 96 95
64 65 96 95
95 96 127 126
95 96 127 126
95 96 127 126
95 96 127 126
126 127 158 157
126 127 158 157
126 127 158 157
126 127 158 157
157 158 189 188
157 158 189 188
157 158 189 188
157 158 189 188
188 189 220 219
